"Time","Self side","Rank1","Rank2","Opponent","Rank1","Rank2","Type","Size","Handicap","Result1","Result2","Result3"
2014/8/16 18:21,B,10k,-9,ssyng,8k,-7,Ranked,19,2,B,1,Res.
2014/8/17 3:15,W,10k,-9,Brabus,12k,-11,Ranked,19,2,W,1,14.5
2014/8/17 3:41,B,9k,-8,Dove,8k,-7,Ranked,19,0,B,1,Res.
2014/8/17 3:54,B,9k,-8,Dove,8k,-7,Ranked,19,0,W,0,12.5
2014/8/17 4:48,W,9k,-8,anicha,?,-99,Ranked,19,0,B,0,15.5
2014/8/17 16:40,B,9k,-8,Und5r,9k,-8,Ranked,19,0,W,0,Res.
2014/8/17 17:27,B,10k,-9,cloudstfer,7k,-6,Ranked,19,3,B,1,Res.
2014/8/17 17:27,W,9k,-8,murch,15k,-14,Ranked,19,6,B,0,Res.
2014/8/17 17:40,W,9k,-8,LaoTsu,9k,-8,Ranked,19,0,B,0,Res.
2014/8/17 17:56,W,10k,-9,elesawa,14k?,-13,Free,19,4,B,0,Res.
2014/8/17 18:0,W,10k,-9,WomboCombo,11k,-10,Ranked,19,0,B,0,1.5
2014/8/17 20:17,W,10k,-9,Leonaso6,11k,-10,Ranked,19,0,B,0,Time
2014/8/17 22:46,B,10k,-9,massolit,5k,-4,Ranked,19,5,W,0,Res.
2014/8/17 23:9,W,10k,-9,cccllkin51,11k,-10,Ranked,19,0,B,0,Res.
2014/8/17 23:34,W,10k,-9,HeIzApp,11k,-10,Ranked,19,0,B,0,Res.
2014/8/18 3:37,B,10k,-9,koe567,8k,-7,Ranked,19,2,B,1,Forf.
2014/8/18 3:39,W,10k,-9,gachikeru,10k,-9,Ranked,19,0,W,1,Res.
2014/8/18 5:18,B,10k,-9,momose955,9k,-8,Ranked,19,0,W,0,33.5
2014/8/18 5:35,B,10k,-9,ayabe,8k,-7,Ranked,19,2,B,1,1.5
2014/8/18 5:57,B,10k,-9,Milosh,4k,-3,Ranked,19,6,B,1,Res.
2014/8/18 6:35,B,10k,-9,hunyadi,8k,-7,Ranked,19,2,B,1,Forf.
2014/8/18 20:38,W,10k,-9,Serg361,12k?,-11,Ranked,19,2,B,0,Res.
2014/8/19 0:42,B,10k,-9,kodai,5k,-4,Ranked,19,5,W,0,12.5
2014/8/20 1:31,W,10k,-9,kyuless,11k,-10,Ranked,19,0,W,1,53.5
2014/8/21 0:5,B,10k,-9,saka75,9k,-8,Ranked,19,0,W,0,Res.
2014/8/21 0:27,B,10k,-9,yakup,8k,-7,Ranked,19,2,W,0,Res.
2014/8/22 1:16,B,10k,-9,LaoTsu,9k,-8,Ranked,19,0,B,1,Res.
2014/8/23 1:26,B,10k,-9,greeencar,10k,-9,Free,19,0,W,0,8.5
2014/8/23 1:44,B,10k,-9,Heyzeus,8k,-7,Ranked,19,2,W,0,Res.
2014/8/26 0:58,W,10k,-9,GatoRayado,?,-99,Ranked,19,0,B,0,Res.
2014/8/27 23:57,W,10k,-9,moon03432,10k,-9,Ranked,19,0,B,0,Res.
2014/8/28 0:12,B,10k,-9,itsmeagain,6k,-5,Ranked,19,4,W,0,Res.
2014/8/28 0:25,W,10k,-9,Kripke,14k,-13,Ranked,19,4,B,0,Res.
2014/8/29 2:23,W,10k,-9,emiliusko,10k,-9,Ranked,19,0,W,1,56.5
2014/8/30 2:24,B,10k,-9,yt4985yt,9k,-8,Ranked,19,0,B,1,Forf.
2014/8/30 2:58,W,10k,-9,gottagonow,10k,-9,Ranked,19,0,B,0,5.5
2014/8/30 4:1,W,10k,-9,sandyb,15k,-14,Ranked,19,5,W,1,43.5
2014/8/30 18:15,W,10k,-9,rahane,12k,-11,Ranked,19,2,W,1,38.5
2014/8/30 18:58,B,10k,-9,Rino,9k,-8,Ranked,19,0,W,0,Res.
2014/8/30 19:19,B,10k,-9,gpaul,9k,-8,Ranked,19,0,B,1,Res.
2014/8/31 0:13,W,10k,-9,Kripke,14k,-13,Ranked,19,4,W,1,48.5
2014/8/31 2:7,W,10k,-9,fadasa,12k,-11,Ranked,19,2,B,0,Res.
2014/8/31 2:40,W,10k,-9,jomiba,11k,-10,Ranked,19,0,B,0,13.5
