"Time","Self side","Rank1","Rank2","Opponent","Rank1","Rank2","Type","Size","Handicap","Result1","Result2","Result3"
2014/10/18 18:58,W,9k,-8,sidnie,9k,-8,Ranked,19,0,W,1,47.5
2014/10/18 19:21,B,9k,-8,number1507,8k,-7,Ranked,19,0,B,1,12.5
2014/10/19 1:25,B,9k,-8,fumiakikun,5k,-4,Ranked,19,4,B,1,Forf.
2014/10/19 1:26,B,9k,-8,saka75,9k,-8,Ranked,19,0,B,1,41.5
2014/10/19 1:49,W,9k,-8,ClapTrap,9k?,-8,Ranked,19,0,B,0,Time
2014/10/19 2:0,B,9k,-8,otasan00,8k,-7,Ranked,19,0,B,1,1.5
2014/10/19 2:15,B,9k,-8,ryoumafan,6k,-5,Ranked,19,3,B,1,Res.
2014/10/19 15:29,B,9k,-8,butsimple,9k,-8,Ranked,19,0,W,0,Res.
2014/10/19 15:42,B,9k,-8,number1507,8k,-7,Ranked,19,0,B,1,Forf.
2014/10/19 15:43,W,9k,-8,Shtorli,9k,-8,Ranked,19,0,B,0,Res.
2014/10/19 16:3,W,9k,-8,jocovich,10k,-9,Ranked,19,0,B,0,6.5
2014/10/21 2:8,B,9k,-8,Heyzeus,8k,-7,Ranked,19,0,W,0,16.5
2014/10/21 2:34,W,9k,-8,ZMG,11k,-10,Ranked,19,2,B,0,Res.
2014/10/21 2:39,B,9k,-8,katuhiko,3k,-2,Ranked,19,6,W,0,Res.
2014/10/21 3:6,B,9k,-8,Pincer,8k,-7,Ranked,19,0,B,1,33.5
2014/10/22 1:35,B,9k,-8,kappa,8k,-7,Ranked,19,0,B,1,30.5
2014/10/22 2:5,B,9k,-8,ameya,8k,-7,Ranked,19,0,B,1,33.5
2014/10/22 2:38,B,9k,-8,azblueeyes,8k,-7,Ranked,19,0,B,1,44.5
2014/10/22 3:16,B,9k,-8,Gojven,8k,-7,Ranked,19,0,B,1,2.5
2014/10/22 19:1,W,9k,-8,Dario,12k,-11,Ranked,19,3,W,1,51.5
2014/10/22 22:0,W,9k,-8,ZMG,11k,-10,Ranked,19,2,B,0,Res.
2014/10/22 22:15,W,9k,-8,katlinai,11k,-10,Ranked,19,2,W,1,Res.
2014/10/22 22:39,B,9k,-8,keoshy,8k,-7,Ranked,19,0,W,0,Time
2014/10/22 22:53,B,9k,-8,ayabe,9k,-8,Ranked,19,0,B,1,Res.
2014/10/22 23:11,B,9k,-8,ayabe,9k,-8,Ranked,19,0,B,1,Res.
2014/10/23 0:2,W,9k,-8,Kripke,11k,-10,Ranked,19,2,W,1,38.5
2014/10/23 0:38,B,8k,-7,rlshutt,8k,-7,Ranked,19,0,W,0,Res.
2014/10/23 0:47,W,9k,-8,jomiba,10k,-9,Ranked,19,0,W,1,35.5
2014/10/23 1:12,B,8k,-7,ThinkPad,3k,-2,Ranked,19,5,W,0,Res.
2014/10/23 1:20,W,9k,-8,momose955,9k,-8,Ranked,19,0,B,0,Res.
2014/10/23 3:7,W,9k,-8,claugo,12k,-11,Ranked,19,3,W,1,Res.
2014/10/23 3:22,W,9k,-8,claugo,12k,-11,Ranked,19,3,W,1,Res.
2014/10/23 16:3,B,9k,-8,Talkman,5k?,-4,Ranked,19,4,B,1,Res.
2014/10/23 20:59,W,8k,-7,harrytsui2,8k,-7,Ranked,19,0,B,0,Res.
2014/10/23 21:16,B,8k,-7,atl25,4k,-3,Ranked,19,4,W,0,Res.
2014/10/23 21:24,B,8k,-7,moko3,4k,-3,Ranked,19,4,W,0,Res.
2014/10/24 2:48,B,9k,-8,Vitalia,8k,-7,Ranked,19,0,W,0,Res.
2014/10/24 3:18,W,9k,-8,CTSV60,9k,-8,Ranked,19,0,B,0,Res.
2014/10/24 3:28,B,9k,-8,AyameTan,7k,-6,Ranked,19,2,B,1,33.5
2014/10/24 3:49,B,9k,-8,ooo,8k,-7,Ranked,19,0,W,0,Res.
2014/10/24 4:8,B,9k,-8,NightWing,4k,-3,Ranked,19,5,W,0,Time
2014/10/24 4:29,B,9k,-8,CTSV60,9k,-8,Ranked,19,0,B,1,Res.
2014/10/25 2:4,W,9k,-8,AceHighlan,9k,-8,Ranked,19,0,W,1,21.5
2014/10/25 5:24,B,9k,-8,kmori,3k,-2,Ranked,19,6,B,1,Forf.
2014/10/25 5:40,W,9k,-8,murch,10k,-9,Ranked,19,0,W,1,20.5
2014/10/25 5:56,W,9k,-8,obon201308,15k,-14,Ranked,19,6,W,1,Res.
2014/10/27 3:29,W,8k,-7,saka75,9k,-8,Ranked,19,0,W,1,40.5
2014/10/27 3:57,W,8k,-7,BigMount,9k,-8,Ranked,19,0,W,1,Res.
2014/10/28 1:55,B,8k,-7,starlight8,7k,-6,Ranked,19,0,W,0,Res.
2014/10/28 2:5,W,8k,-7,hoangly,14k,-13,Ranked,19,6,W,1,Forf.
2014/10/28 2:26,W,8k,-7,Helix,9k,-8,Ranked,19,0,W,1,4.5
2014/10/29 2:57,W,8k,-7,dragonki,8k,-7,Ranked,19,0,W,1,Res.
2014/10/29 3:40,B,8k,-7,yotsuzaru,4k,-3,Ranked,19,4,B,1,Res.
2014/10/29 4:11,B,8k,-7,hungel,7k,-6,Ranked,19,0,W,0,10.5
2014/10/30 2:45,W,8k,-7,murch,10k,-9,Ranked,19,2,B,0,Res.
2014/10/30 3:12,B,8k,-7,kappa,8k,-7,Ranked,19,0,B,1,Res.
2014/10/30 3:44,B,8k,-7,kappa,8k,-7,Ranked,19,0,B,1,Res.
2014/10/31 3:7,B,8k,-7,cyberowl,7k,-6,Ranked,19,0,B,1,24.5
2014/10/31 3:47,B,8k,-7,Pincer,8k,-7,Ranked,19,0,B,1,22.5
2014/11/1 2:54,W,8k,-7,theo61,9k,-8,Ranked,19,0,W,1,Res.
2014/11/1 4:13,B,8k,-7,ebigani,6k,-5,Ranked,19,2,B,1,16.5
2014/11/1 5:24,W,8k,-7,RKMM,11k,-10,Ranked,19,3,W,1,Forf.
2014/11/1 5:58,W,8k,-7,Mendieta,8k,-7,Ranked,19,0,B,0,12.5
2014/11/1 16:35,W,8k,-7,swingon,8k,-7,Ranked,19,0,W,1,Res.
2014/11/1 17:6,B,8k,-7,Number6,4k,-3,Ranked,19,4,W,0,Res.
2014/11/1 17:18,B,8k,-7,ciaptak,7k,-6,Ranked,19,0,B,1,2.5
2014/11/1 21:7,W,8k,-7,Gotowest,13k,-12,Ranked,19,5,B,0,12.5
2014/11/2 0:38,B,8k,-7,fastmat,7k,-6,Ranked,19,0,B,1,Time
2014/11/2 0:53,B,8k,-7,yt,8k,-7,Ranked,19,0,B,1,16.5
2014/11/2 1:18,B,8k,-7,hunyadi,8k,-7,Ranked,19,0,B,1,Res.
2014/11/2 1:43,B,8k,-7,hunyadi,8k,-7,Ranked,19,0,B,1,Res.
2014/11/2 2:5,B,8k,-7,nikallday,3k,-2,Ranked,19,5,W,0,0.5
2014/11/2 2:22,W,8k,-7,yagi56,9k,-8,Ranked,19,0,B,0,Res.
2014/11/2 2:56,B,8k,-7,TimeWasted,7k,-6,Ranked,19,0,W,0,12.5
2014/11/2 17:22,W,8k,-7,DeniArcher,11k,-10,Ranked,19,3,W,1,4.5
2014/11/2 17:57,W,8k,-7,Boniface,9k,-8,Ranked,19,0,W,1,Res.
2014/11/2 18:10,W,8k,-7,sidnie,9k,-8,Ranked,19,0,B,0,Res.
2014/11/2 18:28,W,8k,-7,sidnie,9k,-8,Ranked,19,0,W,1,9.5
2014/11/2 20:32,B,8k,-7,Vindicare,2k,-1,Ranked,19,6,W,0,24.5
2014/11/2 21:8,W,8k,-7,Javierato2,8k,-7,Ranked,19,0,B,0,0.5
2014/11/2 23:16,B,8k,-7,JamieAndGo,7k,-6,Ranked,19,0,B,1,Res.
2014/11/2 23:33,B,8k,-7,macrojams,7k,-6,Ranked,19,0,W,0,Res.
2014/11/2 23:54,B,8k,-7,boyler,4k,-3,Ranked,19,4,W,0,Res.
2014/11/3 0:26,W,8k,-7,himawari,9k,-8,Ranked,19,0,B,0,Res.
2014/11/3 0:42,W,8k,-7,BlueHills,9k,-8,Ranked,19,0,B,0,Res.
2014/11/3 0:56,B,8k,-7,metes,8k?,-7,Ranked,19,0,W,0,1.5
2014/11/3 3:49,W,8k,-7,kroger,9k,-8,Ranked,19,0,W,1,7.5
2014/11/3 5:2,B,8k,-7,katuhiko,3k,-2,Ranked,19,5,B,1,Res.
2014/11/4 2:50,W,8k,-7,CTSV60,9k,-8,Ranked,19,0,W,1,Res.
2014/11/4 3:7,B,8k,-7,oohya,6k,-5,Ranked,19,2,W,0,Res.
2014/11/4 3:31,W,8k,-7,bitttor,9k,-8,Ranked,19,0,W,1,Res.
2014/11/4 5:59,B,8k,-7,rkdmf,8k,-7,Ranked,19,0,W,0,Time
2014/11/4 6:17,W,8k,-7,cccllkin51,9k,-8,Ranked,19,0,B,0,3.5
2014/11/4 6:56,B,8k,-7,gomission,7k,-6,Ranked,19,0,B,1,Res.
2014/11/5 2:50,W,8k,-7,dragonki,8k,-7,Ranked,19,0,W,1,Res.
2014/11/5 3:12,B,8k,-7,shui48,4k,-3,Ranked,19,4,W,0,8.5
2014/11/5 3:36,W,8k,-7,entrophy,9k,-8,Ranked,19,0,W,1,Res.
2014/11/5 3:51,W,8k,-7,valdas,9k,-8,Ranked,19,0,B,0,3.5
2014/11/5 4:14,B,8k,-7,Sipaktli,6k,-5,Ranked,19,2,W,0,Res.
2014/11/5 4:36,B,8k,-7,robagaro,3k,-2,Ranked,19,5,W,0,Res.
2014/11/5 4:43,B,8k,-7,jcschan,7k,-6,Ranked,19,0,B,1,17.5
2014/11/5 5:8,B,8k,-7,mcwilli,8k,-7,Ranked,19,0,W,0,Res.
2014/11/5 17:17,B,8k,-7,yragan13,7k,-6,Ranked,19,0,B,1,Res.
2014/11/5 19:20,W,8k,-7,Nena2,9k?,-8,Ranked,19,0,W,1,Time
2014/11/5 19:50,W,8k,-7,mach3te,12k?,-11,Ranked,19,4,B,0,Res.
2014/11/5 23:7,B,8k,-7,bronx,5k,-4,Ranked,19,3,B,1,Time
2014/11/5 23:21,W,8k,-7,ZZZoran,9k,-8,Ranked,19,0,B,0,Res.
2014/11/6 0:9,B,8k,-7,ben1,6k,-5,Ranked,19,2,W,0,16.5
2014/11/6 23:10,W,8k,-7,paopa0,9k,-8,Ranked,19,0,W,1,6.5
2014/11/7 5:2,B,8k,-7,BlueHills,5k,-4,Ranked,19,3,B,1,17.5
2014/11/7 6:57,W,8k,-7,AshuraIwa,12k,-11,Ranked,19,4,W,1,Res.
2014/11/7 22:23,W,8k,-7,Darsey,10k,-9,Ranked,19,0,B,0,Res.
2014/11/8 0:45,W,8k,-7,anuka,8k,-7,Ranked,19,0,W,1,Res.
2014/11/8 2:54,B,8k,-7,nezumi1,6k,-5,Ranked,19,2,B,1,17.5
2014/11/8 5:38,B,8k,-7,AyameTan,7k,-6,Ranked,19,0,B,1,47.5
2014/11/8 7:59,B,8k,-7,qtarou,8k,-7,Ranked,19,0,B,1,18.5
2014/11/10 3:50,W,8k,-7,BigMount,9k,-8,Ranked,19,0,W,1,7.5
2014/11/10 4:26,B,8k,-7,ootu504,5k,-4,Ranked,19,3,W,0,Res.
2014/11/10 4:45,B,8k,-7,ooo,8k,-7,Ranked,19,0,W,0,0.5
2014/11/10 6:11,B,8k,-7,jukebox,7k,-6,Ranked,19,0,B,1,Res.
2014/11/11 1:22,W,8k,-7,dougd,10k,-9,Ranked,19,2,W,1,Res.
2014/11/11 1:29,B,8k,-7,asburke,6k,-5,Ranked,19,2,W,0,Time
2014/11/11 1:45,B,8k,-7,ootu504,5k,-4,Ranked,19,3,W,0,13.5
2014/11/11 2:7,B,8k,-7,dancor,4k,-3,Ranked,19,4,W,0,Res.
2014/11/11 3:2,B,8k,-7,rotree,6k,-5,Ranked,19,2,W,0,22.5
2014/11/11 7:6,W,8k,-7,Gotowest,13k,-12,Ranked,19,5,W,1,16.5
2014/11/12 3:14,B,8k,-7,zyukarasu,6k,-5,Ranked,19,2,B,1,Forf.
2014/11/13 2:39,B,8k,-7,katsumi,8k,-7,Ranked,19,0,W,0,7.5
2014/11/13 3:43,B,8k,-7,mettyotomo,8k,-7,Ranked,19,0,B,1,Res.
2014/11/14 3:7,W,8k,-7,CTSV60,9k,-8,Ranked,19,0,W,1,Res.
2014/11/15 2:15,W,8k,-7,maxicat,8k,-7,Ranked,19,0,W,1,30.5
2014/11/15 2:56,W,8k,-7,RKMM,11k,-10,Ranked,19,3,W,1,11.5
2014/11/15 6:30,B,8k,-7,big,8k,-7,Ranked,19,0,B,1,Res.
2014/11/15 7:47,B,8k,-7,tomibo,7k,-6,Ranked,19,0,B,1,Res.
2014/11/16 3:47,B,8k,-7,Subhuti,2k,-1,Ranked,19,6,B,1,Time
2014/11/16 3:52,W,8k,-7,Phalaris,8k,-7,Ranked,19,0,W,1,Time
2014/11/16 4:22,W,8k,-7,Snow64,9k,-8,Ranked,19,0,B,0,Res.
2014/11/16 17:30,W,8k,-7,AceHighlan,9k,-8,Ranked,19,0,W,1,Forf.
2014/11/16 19:46,B,8k,-7,greci,5k,-4,Ranked,19,3,B,1,34.5
2014/11/16 21:9,B,8k,-7,tyui,6k,-5,Ranked,19,2,B,1,15.5
2014/11/16 23:12,W,8k,-7,mikou,11k,-10,Ranked,19,3,B,0,Time
2014/11/16 23:27,B,8k,-7,Trurl,7k,-6,Ranked,19,0,B,1,Forf.
2014/11/17 5:38,B,8k,-7,hapsburg,7k,-6,Ranked,19,0,W,0,Res.
2014/11/17 6:12,B,8k,-7,si1043,7k,-6,Ranked,19,0,W,0,Res.
2014/11/18 0:36,B,8k,-7,jabez,5k,-4,Ranked,19,3,B,1,10.5
2014/11/19 1:18,B,8k,-7,tomat2,7k,-6,Ranked,19,0,W,0,7.5
2014/11/19 1:35,B,8k,-7,tomat2,7k,-6,Ranked,19,0,B,1,Forf.
2014/11/19 1:42,B,8k,-7,kmori,3k,-2,Ranked,19,5,W,0,Res.
2014/11/20 0:57,B,8k,-7,skikuchi,7k,-6,Ranked,19,0,B,1,4.5
2014/11/20 1:38,B,8k,-7,ABATAP,4k,-3,Ranked,19,4,B,1,38.5
2014/11/20 1:57,B,8k,-7,hungel,7k,-6,Ranked,19,0,W,0,Res.
2014/11/20 2:6,B,8k,-7,ABATAP,4k,-3,Ranked,19,4,W,0,Time
2014/11/20 2:19,W,8k,-7,Ocarina,9k,-8,Ranked,19,0,B,0,8.5
2014/11/20 4:12,W,8k,-7,daniel557,9k,-8,Ranked,19,0,B,0,Res.
2014/11/20 22:40,B,8k,-7,juliank,3k,-2,Ranked,19,5,B,1,Res.
2014/11/21 2:29,B,8k,-7,kaikaikn,7k,-6,Ranked,19,0,B,1,Res.
2014/11/21 5:16,B,8k,-7,qtarou,8k,-7,Ranked,19,0,B,1,Res.
2014/11/21 7:38,B,8k,-7,Jigong,2k,-1,Ranked,19,6,B,1,Res.
2014/11/21 7:44,B,8k,-7,oldman,8k,-7,Ranked,19,0,B,1,33.5
2014/11/21 21:4,B,8k,-7,dziesiaty,6k,-5,Ranked,19,0,B,1,Res.
2014/11/22 3:6,W,8k,-7,newlife2,8k,-7,Ranked,19,0,B,0,Res.
2014/11/22 3:21,B,8k,-7,Terranigma,2k,-1,Ranked,19,6,B,1,Res.
2014/11/22 3:35,B,8k,-7,Oryx,8k,-7,Ranked,19,0,B,1,11.5
2014/11/22 9:40,B,8k,-7,karakacan1,5k,-4,Ranked,19,3,B,1,Res.
2014/11/24 2:54,W,8k,-7,LiLi,9k?,-8,Ranked,19,0,W,1,50.5
2014/11/24 7:44,W,8k,-7,momose955,8k,-7,Ranked,19,0,W,1,Res.
2014/11/25 3:21,B,8k,-7,MidleFells,5k,-4,Ranked,19,3,B,1,Res.
2014/11/25 3:34,B,8k,-7,fsato117,4k,-3,Ranked,19,4,W,0,Res.
2014/11/25 3:50,B,8k,-7,wqert,8k,-7,Ranked,19,0,B,1,Res.
2014/11/25 3:57,B,8k,-7,quipu,3k,-2,Ranked,19,5,B,1,Res.
2014/11/25 4:52,W,8k,-7,Sirpaladin,8k,-7,Ranked,19,0,W,1,34.5
2014/11/25 5:49,B,8k,-7,cer,5k,-4,Ranked,19,3,W,0,Time
2014/11/25 6:1,W,8k,-7,keironn,8k,-7,Ranked,19,0,B,0,Res.
2014/11/26 3:18,B,8k,-7,qijuan,7k,-6,Ranked,19,0,B,1,28.5
2014/11/26 3:46,B,8k,-7,valdas,8k,-7,Ranked,19,0,W,0,Res.
2014/11/26 4:0,B,8k,-7,pergscraw,5k,-4,Ranked,19,3,W,0,7.5
2014/11/26 4:16,B,8k,-7,qijuan,7k,-6,Ranked,19,0,B,1,23.5
2014/11/26 4:40,B,8k,-7,Maclin,7k,-6,Ranked,19,0,B,1,7.5
2014/11/26 5:6,B,8k,-7,Energizerg,8k,-7,Ranked,19,0,B,1,Res.
2014/11/26 5:28,W,8k,-7,PP1,11k,-10,Ranked,19,3,W,1,10.5
2014/11/27 2:6,W,8k,-7,JozefK,8k,-7,Ranked,19,0,W,1,Res.
2014/11/27 2:32,W,8k,-7,kappa,8k,-7,Ranked,19,0,W,1,Res.
2014/11/27 2:57,B,8k,-7,ABATAP,3k,-2,Ranked,19,5,W,0,0.5
2014/11/27 3:9,W,8k,-7,KiraBox,11k,-10,Ranked,19,3,W,1,25.5
2014/11/27 3:56,B,8k,-7,zwim,7k,-6,Ranked,19,0,W,0,Res.
2014/11/27 4:21,W,8k,-7,okaasan38,13k,-12,Ranked,19,5,W,1,15.5
2014/11/27 4:32,W,8k,-7,alango,9k,-8,Ranked,19,0,B,0,1.5
2014/11/27 4:54,B,8k,-7,babon,7k,-6,Ranked,19,0,W,0,Res.
2014/11/27 5:9,B,8k,-7,kmori,3k,-2,Ranked,19,5,B,1,32.5
2014/11/27 5:50,W,8k,-7,BigMount,9k,-8,Ranked,19,0,B,0,0.5
2014/11/27 6:17,B,8k,-7,noreh,5k,-4,Ranked,19,3,W,0,Res.
2014/11/27 6:26,B,8k,-7,kappa,8k,-7,Ranked,19,0,B,1,Res.
2014/11/28 2:47,B,8k,-7,robagaro,3k,-2,Ranked,19,5,B,1,16.5
2014/11/28 5:47,W,8k,-7,Sorcon,9k,-8,Ranked,19,0,B,0,Res.
2014/11/29 2:55,B,8k,-7,himawari,7k,-6,Ranked,19,0,B,1,6.5
2014/11/29 5:3,B,8k,-7,maxicat,8k,-7,Ranked,19,0,W,0,7.5
2014/11/29 18:50,B,8k,-7,bochenin,8k,-7,Ranked,19,0,B,1,Res.
2014/11/29 20:8,B,8k,-7,Trurl,7k,-6,Ranked,19,0,W,0,Res.
2014/11/29 20:22,W,8k,-7,AMAM,8k,-7,Ranked,19,0,B,0,Res.
2014/11/29 23:10,B,8k,-7,fafner,6k,-5,Ranked,19,2,W,0,Res.
2014/11/29 23:18,B,8k,-7,fafner,6k,-5,Ranked,19,2,B,1,Time
2014/11/29 23:28,B,8k,-7,MidleFells,5k,-4,Ranked,19,3,B,1,Res.
2014/11/30 2:47,W,8k,-7,ZMG,11k,-10,Ranked,19,3,W,1,65.5
2014/11/30 3:7,B,8k,-7,myopian,4k,-3,Ranked,19,4,W,0,16.5
2014/11/30 4:13,B,8k,-7,hirokichi,6k,-5,Ranked,19,2,B,1,0.5
2014/11/30 4:36,B,8k,-7,kei399,5k,-4,Ranked,19,3,W,0,Res.
2014/11/30 4:48,W,8k,-7,SMin,8k,-7,Ranked,19,0,W,1,Res.
2014/11/30 5:19,B,8k,-7,pntgn,6k,-5,Ranked,19,2,B,1,Res.
2014/11/30 16:13,W,8k,-7,nezcroc,8k,-7,Ranked,19,0,B,0,5.5
2014/11/30 16:29,B,8k,-7,Timmblitz,6k,-5,Ranked,19,2,W,0,Time
2014/11/30 16:41,B,8k,-7,JanPetit01,5k,-4,Ranked,19,3,B,1,Time
2014/12/1 1:33,B,8k,-7,doogly,7k,-6,Ranked,19,0,W,0,Res.
2014/12/1 1:43,W,8k,-7,ezoshika,9k,-8,Ranked,19,0,W,1,Res.
2014/12/1 1:47,B,8k,-7,kimikun,6k,-5,Ranked,19,2,W,0,Res.
2014/12/1 2:2,W,8k,-7,Botan,8k,-7,Ranked,19,0,B,0,0.5
2014/12/1 2:15,W,8k,-7,katsumi,8k,-7,Ranked,19,0,W,1,Res.
2014/12/1 2:50,B,8k,-7,Oryx,8k,-7,Ranked,19,0,B,1,Res.
2014/12/1 2:55,B,8k,-7,Uwca,7k,-6,Ranked,19,0,B,1,9.5
2014/12/1 4:32,B,8k,-7,pergscraw,5k,-4,Ranked,19,3,W,0,Res.
2014/12/1 4:47,B,8k,-7,kappa,8k,-7,Ranked,19,0,B,1,Res.
2014/12/1 5:18,W,8k,-7,Tesseract,14k,-13,Ranked,19,6,W,1,4.5
2014/12/1 7:21,B,8k,-7,manestor,3k,-2,Ranked,19,5,B,1,1.5
2014/12/2 1:0,B,8k,-7,Kantis,7k?,-6,Ranked,19,0,B,1,56.5
2014/12/2 1:44,W,8k,-7,werty,8k,-7,Ranked,19,0,B,0,Res.
2014/12/2 2:6,B,8k,-7,werty,8k,-7,Ranked,19,0,W,0,Res.
2014/12/2 2:39,B,8k,-7,cue2,5k,-4,Ranked,19,3,W,0,Res.
2014/12/2 3:16,W,8k,-7,rungo13,-,-99,Free,13,0,B,0,11.5
2014/12/3 3:18,B,8k,-7,cockroach,5k,-4,Ranked,19,3,B,1,31.5
2014/12/3 3:40,B,8k,-7,jabez,5k,-4,Ranked,19,3,B,1,Time
2014/12/3 3:43,W,8k,-7,jameses,11k,-10,Ranked,19,3,B,0,Res.
2014/12/3 4:4,B,8k,-7,AyameTan,7k,-6,Ranked,19,0,B,1,Res.
2014/12/3 4:21,B,8k,-7,MCark,6k,-5,Ranked,19,2,B,1,Res.
2014/12/3 4:29,W,8k,-7,mariotti,10k,-9,Ranked,19,2,W,1,4.5
2014/12/3 4:40,B,8k,-7,myopian,4k,-3,Ranked,19,4,W,0,Res.
2014/12/4 1:0,B,8k,-7,werty,8k,-7,Ranked,19,0,B,1,Res.
2014/12/4 1:12,B,8k,-7,sakuras,7k,-6,Ranked,19,0,B,1,29.5
2014/12/4 1:54,B,8k,-7,Witteker,7k,-6,Ranked,19,0,W,0,Time
2014/12/4 2:22,B,8k,-7,kappa,8k,-7,Ranked,19,0,B,1,43.5
2014/12/4 3:2,W,8k,-7,awoi,9k,-8,Ranked,19,0,W,1,0.5
2014/12/4 5:57,W,7k,-6,mariotti,10k,-9,Ranked,19,3,W,1,Res.
2014/12/5 2:36,B,7k,-6,bier,6k,-5,Ranked,19,0,W,0,3.5
2014/12/5 3:1,B,7k,-6,MidleFells,4k,-3,Ranked,19,3,W,0,Res.
2014/12/5 3:9,B,7k,-6,MidleFells,4k,-3,Ranked,19,3,W,0,8.5
2014/12/5 3:21,B,7k,-6,MidleFells,4k,-3,Ranked,19,3,W,0,Time
2014/12/5 3:31,W,8k,-7,DVD6,8k,-7,Ranked,19,0,B,0,Res.
2014/12/8 2:21,B,8k,-7,Witteker,7k,-6,Ranked,19,0,W,0,Res.
2014/12/9 2:16,W,8k,-7,FiiO,10k,-9,Ranked,19,2,B,0,Res.
2014/12/9 2:27,W,8k,-7,maske,9k,-8,Ranked,19,0,B,0,Res.
2014/12/9 2:36,W,8k,-7,RKMM,11k,-10,Ranked,19,3,W,1,Forf.
2014/12/9 3:1,W,8k,-7,FiiO,10k,-9,Ranked,19,2,B,0,Res.
2014/12/9 3:12,B,8k,-7,nuwanda7,5k,-4,Ranked,19,3,B,1,32.5
2014/12/9 6:56,W,8k,-7,ooo,8k,-7,Ranked,19,0,W,1,Res.
2014/12/9 7:25,W,8k,-7,oiotoshi07,8k,-7,Ranked,19,0,B,0,0.5
2014/12/9 19:25,B,8k,-7,DragnSlayr,2k,-1,Ranked,19,6,B,1,21.5
2014/12/9 20:1,B,8k,-7,hogo,7k,-6,Ranked,19,0,W,0,27.5
2014/12/9 20:26,B,8k,-7,tacoTaco,3k,-2,Ranked,19,5,B,1,Time
2014/12/9 20:39,W,8k,-7,Dolzenkov,9k,-8,Ranked,19,0,B,0,Res.
2014/12/9 20:55,W,8k,-7,RKMM,11k,-10,Ranked,19,3,W,1,Res.
2014/12/9 22:47,B,8k,-7,Timmblitz,6k,-5,Ranked,19,2,W,0,Time
2014/12/9 23:0,B,8k,-7,Logic,7k,-6,Ranked,19,0,W,0,Res.
2014/12/10 20:0,B,8k,-7,nestango,3k,-2,Ranked,19,5,B,1,Res.
2014/12/10 22:23,W,8k,-7,triangle,14k?,-13,Ranked,19,6,B,0,Res.
2014/12/10 23:0,B,8k,-7,DVD6,8k,-7,Ranked,19,0,W,0,Res.
2014/12/11 2:29,W,8k,-7,faxfayfaz,8k,-7,Ranked,19,0,B,0,Res.
2014/12/11 2:39,W,8k,-7,takama,10k,-9,Ranked,19,2,W,1,19.5
2014/12/11 3:15,B,8k,-7,sweetStach,7k,-6,Ranked,19,0,W,0,Res.
2014/12/11 3:43,B,8k,-7,ken0925,6k,-5,Ranked,19,2,B,1,Res.
2014/12/11 4:15,B,8k,-7,Arkadi,7k,-6,Ranked,19,0,B,1,48.5
2014/12/11 7:31,W,8k,-7,BigMount,9k,-8,Ranked,19,0,B,0,10.5
2014/12/11 7:50,W,8k,-7,tchan54,8k,-7,Ranked,19,0,B,0,Res.
2014/12/11 8:8,W,8k,-7,wa101,9k,-8,Ranked,19,0,W,1,51.5
2014/12/11 23:37,W,8k,-7,Mingus,14k,-13,Ranked,19,6,W,1,29.5
2014/12/12 0:2,B,8k,-7,juve,8k,-7,Ranked,19,0,B,1,Res.
2014/12/12 1:34,W,8k,-7,shuntoq,8k,-7,Ranked,19,0,W,1,Res.
2014/12/12 3:29,W,8k,-7,Googlemast,10k,-9,Ranked,19,2,W,1,Res.
2014/12/12 4:16,B,8k,-7,yotsuzaru,4k,-3,Ranked,19,4,B,1,0.5
2014/12/12 17:0,W,8k,-7,saxifrage,9k,-8,Ranked,19,0,W,1,Res.
2014/12/12 21:41,W,8k,-7,Gotowest,13k,-12,Ranked,19,5,W,1,29.5
2014/12/13 7:40,B,8k,-7,mf,5k,-4,Ranked,19,3,B,1,Res.
2015/1/6 5:4,W,7k,-6,Sirpaladin,8k,-7,Ranked,19,0,W,1,Res.
2015/1/6 16:57,B,7k,-6,alias,7k,-6,Ranked,19,0,W,0,Res.
2015/1/6 16:59,B,7k,-6,mmouse,7k,-6,Ranked,19,0,W,0,Res.
2015/1/6 17:35,W,7k,-6,marrrc,8k,-7,Ranked,19,0,B,0,Res.
2015/2/7 22:36,W,7k,-6,L3,10k,-9,Ranked,19,3,W,1,35.5
2015/2/8 2:38,B,7k,-6,igosgk,4k,-3,Ranked,19,3,W,0,25.5
2015/2/8 8:17,B,7k,-6,ben1,6k,-5,Ranked,19,0,B,1,Res.
2015/2/8 18:56,W,7k,-6,nham,12k?,-11,Ranked,19,5,W,1,Res.
2015/2/8 23:12,B,7k,-6,tmolos,7k,-6,Ranked,19,0,B,1,Res.
2015/2/9 3:57,B,7k,-6,ooyuki,7k,-6,Ranked,19,0,B,1,Res.
2015/2/10 4:25,W,7k,-6,Bulldon,10k,-9,Ranked,19,3,B,0,Res.
2015/2/10 5:15,W,7k,-6,LazyBee,7k,-6,Ranked,19,0,W,1,Res.
2015/2/11 5:14,B,7k,-6,imayo0022,6k,-5,Ranked,19,0,B,1,Res.
2015/2/12 4:59,W,7k,-6,MMD,8k,-7,Ranked,19,0,W,1,Res.
2015/2/12 6:59,B,7k,-6,shige,6k,-5,Ranked,19,0,W,0,Res.
2015/2/12 7:17,B,7k,-6,house45854,5k,-4,Ranked,19,2,B,1,Res.
2015/2/13 6:4,B,7k,-6,mutsugoro2,4k,-3,Ranked,19,3,B,1,Res.
